ABRIL,ROSALIA,PONDAL,CASTELAO,CURROS,CUNQUEIRO,HALL,RESTAURANTE,BAR,Unnamed: 9,Unnamed: 10,_sheet,_row_number,_imported_at
1, , , , ,"PEREZ TORRES Y CIA. / ""U"" 27 pax + audios                                   COFFEE dentro sala",,, ,,,2025-ABRIL.JUNIO,2,2026-01-12T10:12:30.821139
2, , , , ,,,, ,,,2025-ABRIL.JUNIO,3,2026-01-12T10:12:30.821139
3,REUNION CONGRESO TTCC, , , ,,,, ,,,2025-ABRIL.JUNIO,4,2026-01-12T10:12:30.821139
4, , , , , , , , ,,,2025-ABRIL.JUNIO,5,2026-01-12T10:12:30.821139
5, , ,UEM/40 PAX,UEM/40 PAX, , , , ,,,2025-ABRIL.JUNIO,6,2026-01-12T10:12:30.821139
6,,,UEM/40 PAX,UEM/40 PAX,, ,, ,,,2025-ABRIL.JUNIO,7,2026-01-12T10:12:30.821139
7,,,,,,, , ,,,2025-ABRIL.JUNIO,8,2026-01-12T10:12:30.821139
8,,"REUNIÓN SR. BARRAN                ""U"" 6 PAX + COFFEE",MERIT MEDICAL,COCKTAIL MERIT MEDICAL,,COFFEE MERIT MEDICALx mañana                   ,,,,,2025-ABRIL.JUNIO,9,2026-01-12T10:12:30.821139
9,VACAFILMS/CASTING, ,MERIT MEDICAL, COCKTAIL MERIT MEDICAL,LEO PHARMA/25 PAX+AUDIOS HOTEL,COFFEE MERIT MEDICALx mañana                   COCKTAIL LEO PHARMAx tarde,,,,,2025-ABRIL.JUNIO,10,2026-01-12T10:12:30.821139
10,, ,,,,,, ,,,2025-ABRIL.JUNIO,11,2026-01-12T10:12:30.821139
11, , , , ,"MEDTRONIC x tarde ""ESCUELA"" 30 PAX",MEDTRONIC                                           COFFEE-BREAK TARDE, , ,,,2025-ABRIL.JUNIO,12,2026-01-12T10:12:30.821139
12,,,,,"MEDTRONIC x mañana ""ESCUELA"" 30 PAX",MEDTRONIC                                                   COFFEE-BREAK MAÑANA,,,,,2025-ABRIL.JUNIO,13,2026-01-12T10:12:30.821139
13,,,,,,,,,,,2025-ABRIL.JUNIO,14,2026-01-12T10:12:30.821139
14,,,,,,,,,,,2025-ABRIL.JUNIO,15,2026-01-12T10:12:30.821139
15,,,,,,,,,,,2025-ABRIL.JUNIO,16,2026-01-12T10:12:30.821139
