ENERO,ROSALIA,PONDAL,CASTELAO,CURROS,CUNQUEIRO,HALL,RESTAURANTE,BAR,Unnamed: 9,_sheet,_row_number,_imported_at
1, , , , , , ,FESTIVO, ,,2025-ENERO.MARZO,2,2026-01-12T10:12:30.821139
2, , , , , , , , ,,2025-ENERO.MARZO,3,2026-01-12T10:12:30.821139
3, , , , , , , , ,,2025-ENERO.MARZO,4,2026-01-12T10:12:30.821139
4,,,,,, , , ,,2025-ENERO.MARZO,5,2026-01-12T10:12:30.821139
5,,,,,, , , ,,2025-ENERO.MARZO,6,2026-01-12T10:12:30.821139
6,,,,,, ,FESTIVO BUFFET y CIERRE, ,,2025-ENERO.MARZO,7,2026-01-12T10:12:30.821139
7, , , , , , , , ,,2025-ENERO.MARZO,8,2026-01-12T10:12:30.821139
8,,, , ,, ,, ,,2025-ENERO.MARZO,9,2026-01-12T10:12:30.821139
9,,,,,, , , ,,2025-ENERO.MARZO,10,2026-01-12T10:12:30.821139
10, , , , , , , , ,,2025-ENERO.MARZO,11,2026-01-12T10:12:30.821139
11, , ,,,, , , ,,2025-ENERO.MARZO,12,2026-01-12T10:12:30.821139
12,,,,,,,,,,2025-ENERO.MARZO,13,2026-01-12T10:12:30.821139
13,,,,,,,,,,2025-ENERO.MARZO,14,2026-01-12T10:12:30.821139
14,"REUNIÓN SR. BARRAN                ""U"" 6 PAX + COFFEE",,,,,,,,,2025-ENERO.MARZO,15,2026-01-12T10:12:30.821139
15,,TERUMO,,,,,,,,2025-ENERO.MARZO,16,2026-01-12T10:12:30.821139
16,,,GENESAL ENERGY        TEAM BUILDING,GENESAL ENERGY                  COCKTAIL COMIDA,UNIVERSIDAD FCO. VITORIA,GENESAL ENERGY  COFFEE-BREAK,,,,2025-ENERO.MARZO,17,2026-01-12T10:12:30.821139
17,,,STOLT SEA FARM  TEAM BUILDING,STOLT SEA FARM                     COCKTAIL 14'30 HRS.,,STOLT SEA FARM  COFFEE-BREAK,,,,2025-ENERO.MARZO,18,2026-01-12T10:12:30.821139
18,,,,,,,,,,2025-ENERO.MARZO,19,2026-01-12T10:12:30.821139
19,,,,,,,,,,2025-ENERO.MARZO,20,2026-01-12T10:12:30.821139
20,,,,,JOHNSON & JOHNSON,,,,,2025-ENERO.MARZO,21,2026-01-12T10:12:30.821139
21,,,,,,,,,,2025-ENERO.MARZO,22,2026-01-12T10:12:30.821139
22,,,"BNG/50 PAX ""TEATRO""",FOTOCASA,FOTOCASA,COFFEE-BREAK FOTOCASA,,,,2025-ENERO.MARZO,23,2026-01-12T10:12:30.821139
23,REUNION URIACH 3 PAX,,,,,,,,,2025-ENERO.MARZO,24,2026-01-12T10:12:30.821139
24,LEVANTE UD,LEVANTE UD,LEVANTE UD,LEVANTE UD,LEVANTE UD,,,,,2025-ENERO.MARZO,25,2026-01-12T10:12:30.821139
25,LEVANTE UD,LEVANTE UD,LEVANTE UD,LEVANTE UD,LEVANTE UD,,CENA GRUPO HOTUSA/43 PAX,,,2025-ENERO.MARZO,26,2026-01-12T10:12:30.821139
26,OUT LEVANTE UD,OUT LEVANTE UD,OUT LEVANTE UD,OUT LEVANTE UD,OUT LEVANTE UD,,,,,2025-ENERO.MARZO,27,2026-01-12T10:12:30.821139
27,COCKTAIL LUCKIA,,,,LUCKIA RRHH/10 pax,,,,,2025-ENERO.MARZO,28,2026-01-12T10:12:30.821139
28,COCKTAIL LUCKIA,,Montaje LUCKIA,Montaje LUCKIA,LUCKIA RRHH/10 pax,LUCKIA COFFEE-BREAK ,,,,2025-ENERO.MARZO,29,2026-01-12T10:12:30.821139
29,,Montaje Percheros     BOLERO TEKSTIL,LUCKIA RMG/40 pax,LUCKIA MARKETING/22 pax,LUCKIA RRHH/22 pax,LUCKIA COFFEE-BREAK ,LUCKIA CONVENCION BUFFET,,,2025-ENERO.MARZO,30,2026-01-12T10:12:30.821139
30,,,,BOLERO TEKSTIL,,,,,,2025-ENERO.MARZO,31,2026-01-12T10:12:30.821139
31,,,,,,,,,,2025-ENERO.MARZO,32,2026-01-12T10:12:30.821139
FEBRERO,ROSALIA,PONDAL,CASTELAO,CURROS,CUNQUEIRO,HALL,RESTAURANTE,BAR,,2025-ENERO.MARZO,33,2026-01-12T10:12:30.821139
1,,,,,Montaje EXP. CALZADO XTI,,,,,2025-ENERO.MARZO,34,2026-01-12T10:12:30.821139
2,,,,,XTI-EXP. DANTE,,,,,2025-ENERO.MARZO,35,2026-01-12T10:12:30.821139
3,,,PP-70 PAX (20 HRS.),"PP-70 PAX ""TEATRO"" (2 MICROS)",XTI-EXP. DANTE,,,,,2025-ENERO.MARZO,36,2026-01-12T10:12:30.821139
4,,"FI GRUPO/ ""U"" 8 PAX + AUDIOS",,,XTI-EXP. DANTE,,,,,2025-ENERO.MARZO,37,2026-01-12T10:12:30.821139
5,,"TERUMO/ ""U"" 12 pax",,,XTI-EXP. DANTE (out),,,,,2025-ENERO.MARZO,38,2026-01-12T10:12:30.821139
6,CHARLA GPO. HOTUSA/25 pax,,,,,,PC GPO. DEPORT. HOTUSA/50 PAX,,,2025-ENERO.MARZO,39,2026-01-12T10:12:30.821139
7,CHARLA GPO. HOTUSA/25 pax,,UEM/ Examen 20 PAX,,,,PC GPO. DEPORT. HOTUSA/50 PAX,,,2025-ENERO.MARZO,40,2026-01-12T10:12:30.821139
8,CHARLA GPO. HOTUSA/25 pax,UEM/ Examen 10 PAX,UEM/ Examen 40 PAX,UEM/ Examen 40 PAX,FOZ DO CAVADO                                        CENA MENU GPO. 41 PAX,,PC GPO. DEPORT. HOTUSA/50 PAX    ,,,2025-ENERO.MARZO,41,2026-01-12T10:12:30.821139
9,,,UEM/ Examen 40 PAX,UEM/ Examen 40 PAX,,,,,,2025-ENERO.MARZO,42,2026-01-12T10:12:30.821139
10,,,"SHISEIDO/35 ""ESCUELA""",COCKTAIL BIENVENIDA SHISEIDO,,,,,,2025-ENERO.MARZO,43,2026-01-12T10:12:30.821139
11,,,,,,,,,,2025-ENERO.MARZO,44,2026-01-12T10:12:30.821139
12,,,,,IN X TARDE EXP. STONEFLY,,,,,2025-ENERO.MARZO,45,2026-01-12T10:12:30.821139
13,,,,,STONEFLY,,,,,2025-ENERO.MARZO,46,2026-01-12T10:12:30.821139
14,,,,,,,,,,2025-ENERO.MARZO,47,2026-01-12T10:12:30.821139
15,,FEM. ATLETICO MADRID/FISIO,FEM. ATLETICO MADRID/CHARLA,FEM. ATLETICO MADRID/COMEDOR,FEM. ATLETICO MADRID/COMEDOR,,JORNADAS LACONICAS,,,2025-ENERO.MARZO,48,2026-01-12T10:12:30.821139
16,,FEM. ATLETICO MADRID/FISIO,FEM. ATLETICO MADRID/CHARLA,FEM. ATLETICO MADRID/COMEDOR,FEM. ATLETICO MADRID/COMEDOR,,JORNADAS LACONICAS,,,2025-ENERO.MARZO,49,2026-01-12T10:12:30.821139
17,,,,MONTAJE X TARDE TAMARIS,,,,,,2025-ENERO.MARZO,50,2026-01-12T10:12:30.821139
18,,,,TAMARIS,,,,, ,2025-ENERO.MARZO,51,2026-01-12T10:12:30.821139
19,,,,TAMARIS,,,,,,2025-ENERO.MARZO,52,2026-01-12T10:12:30.821139
20,,,"KEYTEL EVENTS/""U"" 15 pax   COFFEE DENTRO SALA",,SINGULAR BANK                         COFFEES VARIOS DENTRO SALA,," DESVIO ""EXE"" IMSERSO/52 PAX MP",, ,2025-ENERO.MARZO,53,2026-01-12T10:12:30.821139
21,,,"KEYTEL EVENTS/""U"" 15 pax   COFFEE DENTRO SALA",,,,"DESVIO  ""EXE"" IMSERSO/52 PAX MP",,,2025-ENERO.MARZO,54,2026-01-12T10:12:30.821139
22,,,UEM/ Examen 40 PAX,UEM/ Examen 40 PAX,,,"JORNADAS LACONICAS                 DESVIO ""EXE"" IMSERSO/52 PAX MP",,,2025-ENERO.MARZO,55,2026-01-12T10:12:30.821139
23,,UEM/ Examen 10 PAX,,,,,JORNADAS LACONICAS,,,2025-ENERO.MARZO,56,2026-01-12T10:12:30.821139
24,MONTAJE EL GANSO,,MONTAJE  x TARDE DARIO,,EXP. GIOSEPPO                          MONTAJE X TARDE,,,,,2025-ENERO.MARZO,57,2026-01-12T10:12:30.821139
25,EL GANSO,,EXPO. DARIO CHOUZA,,GIOSEPPO,,,,,2025-ENERO.MARZO,58,2026-01-12T10:12:30.821139
26,EL GANSO,"GT MOTIVE/UK  11 PAX ""U""","GT MOTIVE/SALES ""U"" 14 PAX",GT MOTIVE DIRECCION COCKTAIL,GIOSEPPO,,,CLUB DE LECTURA/17'00 HRS.,,2025-ENERO.MARZO,59,2026-01-12T10:12:30.821139
27,EL GANSO,,,,GIOSEPPO,,,,,2025-ENERO.MARZO,60,2026-01-12T10:12:30.821139
28,OUT EL GANSO,,,,,,,,,2025-ENERO.MARZO,61,2026-01-12T10:12:30.821139
MARZO,ROSALIA,PONDAL,CASTELAO,CURROS,CUNQUEIRO,HALL,RESTAURANTE,BAR,,2025-ENERO.MARZO,62,2026-01-12T10:12:30.821139
1,,,Montaje x EXP.LODI,,MONTAJE X TARDE EXP. AMARPIES,,LACONICAS: 50 PAX MEDICOS,,,2025-ENERO.MARZO,63,2026-01-12T10:12:30.821139
2,,,LODI,Montaje x tarde EXP. HISPANITAS,AMARPIES (ARTURO AMAT),,,,,2025-ENERO.MARZO,64,2026-01-12T10:12:30.821139
3,,,LODI,HISPANITAS,AMARPIES (ARTURO AMAT),,,,,2025-ENERO.MARZO,65,2026-01-12T10:12:30.821139
4,,,Desmontaje LODI,HISPANITAS,OUT  -  AMARPIES (ARTURO AMAT),,FESTIVO LOCAL                                MARTES CARNAVAL                                ,,,2025-ENERO.MARZO,66,2026-01-12T10:12:30.821139
5,,,Montaje CALZADOS GONZALO,,,,,,,2025-ENERO.MARZO,67,2026-01-12T10:12:30.821139
6,COCKTAIL  GSX  15 PAX/20'00 HRS.,GSK/15 PAX-19'00 HRS.,CALZADOS GONZALO,,,,,,,2025-ENERO.MARZO,68,2026-01-12T10:12:30.821139
7,,,,,,,,,,2025-ENERO.MARZO,69,2026-01-12T10:12:30.821139
8,,,,,,,JORNADAS LACONICAS,,,2025-ENERO.MARZO,70,2026-01-12T10:12:30.821139
9,,,,,,,JORNADAS LACONICAS,,,2025-ENERO.MARZO,71,2026-01-12T10:12:30.821139
10,,,,JUAN CARLOS RAMIREZ,,,,,,2025-ENERO.MARZO,72,2026-01-12T10:12:30.821139
11,REUNION COMITÉ DE EMPRESA,,,JUAN CARLOS RAMIREZ,,,,,,2025-ENERO.MARZO,73,2026-01-12T10:12:30.821139
12,,,,,,,,,,2025-ENERO.MARZO,74,2026-01-12T10:12:30.821139
13,,PALEX MEDICAL,,,,,,,,2025-ENERO.MARZO,75,2026-01-12T10:12:30.821139
14,,,,,,,LA LIGA GENUINE/cena  (76 pax),,,2025-ENERO.MARZO,76,2026-01-12T10:12:30.821139
