OCTUBRE,ROSALIA,PONDAL,CASTELAO,CURROS,CUNQUEIRO,HALL,RESTAURANTE,BAR,Unnamed: 9,Unnamed: 10,_sheet,_row_number,_imported_at
1,VILMORIN MIKADO, ,,,VILMORIN MIKADO,VILMORIN COFFEE MAÑANA Y TARDE                17 PAX,VILMORIN - COMIDA 17 PAX, ,,,2025-OCTUBRE.DICIEMBRE,2,2026-01-12T10:12:30.821139
2,,,VILMORIN MIKADO,VILMORIN MIKADO,,,VILMORIN  - COMIDA 61 PAX, ,,,2025-OCTUBRE.DICIEMBRE,3,2026-01-12T10:12:30.821139
3,UD ALMERIA,UD ALMERIA,UD ALMERIA,UD ALMERIA,UD ALMERIA,,COMIDA JUBILACION PITUSA/72 PAX                                                        ,CENA GPO. HOTUSA/14 PAX,,,2025-OCTUBRE.DICIEMBRE,4,2026-01-12T10:12:30.821139
4,UD ALMERIA,UD ALMERIA,UD ALMERIA,UD ALMERIA,UD ALMERIA,,,CENA GPO. HOTUSA/14 PAX,,,2025-OCTUBRE.DICIEMBRE,5,2026-01-12T10:12:30.821139
5,,,,,, , , ,,,2025-OCTUBRE.DICIEMBRE,6,2026-01-12T10:12:30.821139
6,,,LLEGADA Y MONTAJE x tarde GUERLAIN,,"GENERAL OPTICA ""U"" 16 PAX + AUDIOS",,, ,,,2025-OCTUBRE.DICIEMBRE,7,2026-01-12T10:12:30.821139
7, ,,"FORMACION GUERLAIN 14 PAX U"" + PANTALLA Y MESA EXPOSITORA",, ,COFFEE MAÑANA Y TARDE GUERLAIN, , ,,,2025-OCTUBRE.DICIEMBRE,8,2026-01-12T10:12:30.821139
8,CASTING SALTA2 GRABACION,,,,CASTING SALTA2//16 PAX-TEST,,, ,,,2025-OCTUBRE.DICIEMBRE,9,2026-01-12T10:12:30.821139
9, , ,,, , ,,CENA GPO. HOTUSA/14 PAX,,,2025-OCTUBRE.DICIEMBRE,10,2026-01-12T10:12:30.821139
10,,,,,, ,GRUPO HOTUSA /CENA 20 PAX        GRUPO HOTUSA /CENA 35 PAX,,,,2025-OCTUBRE.DICIEMBRE,11,2026-01-12T10:12:30.821139
11,,,,,, ,GRUPO HOTUSA/CENA 35 PAX,,,,2025-OCTUBRE.DICIEMBRE,12,2026-01-12T10:12:30.821139
12,,,,,,,,,,,2025-OCTUBRE.DICIEMBRE,13,2026-01-12T10:12:30.821139
13,,,"ASISA  ""U"" 15 PAX + PANTALLA",,,ASISA COFFEE 15 PAX (12 HRS.),,,,,2025-OCTUBRE.DICIEMBRE,14,2026-01-12T10:12:30.821139
14,,,,,,,GPO. HOTUSA/CENA 36 PAX,,,,2025-OCTUBRE.DICIEMBRE,15,2026-01-12T10:12:30.821139
15,,,,,,,,,,,2025-OCTUBRE.DICIEMBRE,16,2026-01-12T10:12:30.821139
16,,,EUROSTARS HOTELS,,,,,,,,2025-OCTUBRE.DICIEMBRE,17,2026-01-12T10:12:30.821139
17,,,,,,,GPO. HOTUSA/CENA 18 PAX,,,,2025-OCTUBRE.DICIEMBRE,18,2026-01-12T10:12:30.821139
18,UEM-DEFENSAS                                         x mañana,UEM-TFM JC,UEM-EXAMEN JC,"DIPUTACION ""ESCUELA"" 40 PAX + AUDIOS",,,,,,,2025-OCTUBRE.DICIEMBRE,19,2026-01-12T10:12:30.821139
19,,UEM-TFM JC,UEM-EXAMEN JC,"DIPUTACION ""ESCUELA"" 40 PAX + AUDIOS",IN Y MONTAJE,,,,,,2025-OCTUBRE.DICIEMBRE,20,2026-01-12T10:12:30.821139
20,EUROSTARS HOTELS,,,,JORGE GARCIA/EXP. CALZADO,,,,,,2025-OCTUBRE.DICIEMBRE,21,2026-01-12T10:12:30.821139
21,,,,REUNIÓN COSMOS ARQUITECTOS,JORGE GARCIA/EXP. CALZADO,,,,,,2025-OCTUBRE.DICIEMBRE,22,2026-01-12T10:12:30.821139
22,,,SALINERA ESPAÑOLA,,OUT Y DESMONTAJE,,,,,,2025-OCTUBRE.DICIEMBRE,23,2026-01-12T10:12:30.821139
23,,,GRUPO HOTUSA/17 PAX+AUDIOS,KOBHO LABS.-COCKTAIL COMIDA,"KOBHO LABS./50 PAX ""TEATRO""",COFFEE  BIENVENIDA                      KOBHO LABS.,,,,,2025-OCTUBRE.DICIEMBRE,24,2026-01-12T10:12:30.821139
24,,SPEAK & TRAVEL,,,,,CENA GRUPO SAPO PORTUGAL/29 PAX,,,,2025-OCTUBRE.DICIEMBRE,25,2026-01-12T10:12:30.821139
25,,SPEAK & TRAVEL,,,,,COMIDA GRUPO SAPO PORTUGAL/29 PAX,,,,2025-OCTUBRE.DICIEMBRE,26,2026-01-12T10:12:30.821139
26,,,,,,,,,,,2025-OCTUBRE.DICIEMBRE,27,2026-01-12T10:12:30.821139
27,,,,,SHISEIDO/TEATRO 60 PAX,COCKTAIL SHISEIDO 22'30 hrs.,,,,,2025-OCTUBRE.DICIEMBRE,28,2026-01-12T10:12:30.821139
28,,,"ISLE UTILITIES ""U"" 30 PAX+AUDIOS",ISLE UTILITIES                                          COCKTAIL 18 PAX/14'00-15 HRS.,,,,,,,2025-OCTUBRE.DICIEMBRE,29,2026-01-12T10:12:30.821139
29,"AIMEN 14 PAX ""U""+TV",COCKTAIL AIMEN                        15 PAX,,,,COFFEE AIMEN 14 PAX,,,,,2025-OCTUBRE.DICIEMBRE,30,2026-01-12T10:12:30.821139
30,,,,,,,,,,,2025-OCTUBRE.DICIEMBRE,31,2026-01-12T10:12:30.821139
31,TENERIFE,TENERIFE,TENERIFE,TENERIFE,TENERIFE,,,,,,2025-OCTUBRE.DICIEMBRE,32,2026-01-12T10:12:30.821139
NOVIEMBRE,ROSALIA,PONDAL,CASTELAO,CURROS,CUNQUEIRO,HALL,RESTAURANTE,BAR,,,2025-OCTUBRE.DICIEMBRE,33,2026-01-12T10:12:30.821139
1,TENERIFE,TENERIFE,TENERIFE,TENERIFE,TENERIFE,,FESTIVO,,,,2025-OCTUBRE.DICIEMBRE,34,2026-01-12T10:12:30.821139
2,TENERIFE,TENERIFE,TENERIFE,TENERIFE,TENERIFE,,,,,,2025-OCTUBRE.DICIEMBRE,35,2026-01-12T10:12:30.821139
3,,,,,,,,,,,2025-OCTUBRE.DICIEMBRE,36,2026-01-12T10:12:30.821139
4,EUROSTARS HOTELS,,,,,,,,,,2025-OCTUBRE.DICIEMBRE,37,2026-01-12T10:12:30.821139
5,,APR SALUD,,,,,,,,,2025-OCTUBRE.DICIEMBRE,38,2026-01-12T10:12:30.821139
6,,,,,,,,,,,2025-OCTUBRE.DICIEMBRE,39,2026-01-12T10:12:30.821139
7,CULTURAL LEONESA,CULTURAL LEONESA,CULTURAL LEONESA,CULTURAL LEONESA,CULTURAL LEONESA,,,,,,2025-OCTUBRE.DICIEMBRE,40,2026-01-12T10:12:30.821139
8,CULTURAL LEONESA,CULTURAL LEONESA,CULTURAL LEONESA,CULTURAL LEONESA,CULTURAL LEONESA,,,LEONCIO/COFFEE 12 PAX,,,2025-OCTUBRE.DICIEMBRE,41,2026-01-12T10:12:30.821139
9,,,,,,,,,,,2025-OCTUBRE.DICIEMBRE,42,2026-01-12T10:12:30.821139
10,,,,,,,,,,,2025-OCTUBRE.DICIEMBRE,43,2026-01-12T10:12:30.821139
11,,LEONARDO TEJEDOR montaje x tarde,,,,,,,,,2025-OCTUBRE.DICIEMBRE,44,2026-01-12T10:12:30.821139
12,,LEONARDO TEJEDOR,"SCHINDLER ""ESCUELA"" 20 PAX + PANTALLA",,PROFIRST,COFFEE-BREAK SCHINDLER 20 PAX,,,,,2025-OCTUBRE.DICIEMBRE,45,2026-01-12T10:12:30.821139
13,,,,,PROFIRST,,,,,,2025-OCTUBRE.DICIEMBRE,46,2026-01-12T10:12:30.821139
14,,,,,PROFIRST,,,,,,2025-OCTUBRE.DICIEMBRE,47,2026-01-12T10:12:30.821139
15,UEM-TFM JC,,,,PROFIRST,,,,,,2025-OCTUBRE.DICIEMBRE,48,2026-01-12T10:12:30.821139
16,,,,PROFIRST,PROFIRST,,,,,,2025-OCTUBRE.DICIEMBRE,49,2026-01-12T10:12:30.821139
17,,,,PROFIRST,PROFIRST,,,,,,2025-OCTUBRE.DICIEMBRE,50,2026-01-12T10:12:30.821139
18,ELECNOR 11PAX / JC,,,PROFIRST,PROFIRST,COFFEE-BREAK ELECNOR/11 PAX,,CENA PROFIRST/9 PAX,,,2025-OCTUBRE.DICIEMBRE,51,2026-01-12T10:12:30.821139
19,ELECNOR 11PAX / MJ,EUROSTARS HOTELS,,PROFIRST,PROFIRST,COFFEE-BREAK ELECNOR/11 PAX,,,,,2025-OCTUBRE.DICIEMBRE,52,2026-01-12T10:12:30.821139
20,,MONTAJE BLUE HOLE,,PROFIRST,PROFIRST,,,,,,2025-OCTUBRE.DICIEMBRE,53,2026-01-12T10:12:30.821139
21,RENOWA HEALTH,BLUE HOLE,JUBILACION MAPY/24 PAX,,,,,,,,2025-OCTUBRE.DICIEMBRE,54,2026-01-12T10:12:30.821139
22,AD CEUTA,AD CEUTA,AD CEUTA,AD CEUTA,AD CEUTA,LLEGADA CENA/PC,,,,,2025-OCTUBRE.DICIEMBRE,55,2026-01-12T10:12:30.821139
23,AD CEUTA,AD CEUTA,AD CEUTA,AD CEUTA,AD CEUTA,PC,,,,,2025-OCTUBRE.DICIEMBRE,56,2026-01-12T10:12:30.821139
24,AD CEUTA,AD CEUTA,AD CEUTA,AD CEUTA,AD CEUTA,DESAYUNO Y SALIDA AD CEUTA,,,,,2025-OCTUBRE.DICIEMBRE,57,2026-01-12T10:12:30.821139
25,BLOQUEO COCINA,BLOQUEO F&B,,BICO DE XEADO/COCKTAIL CENA 90 PAX,BICO DE XEADO/COCKTAIL CENA 90 PAX,,,,,,2025-OCTUBRE.DICIEMBRE,58,2026-01-12T10:12:30.821139
26,PORTOCABO,REUNION ROTARY,CHARLA ROTARY CLUB/30 PAX,COCKTAIL ROTARY CLUB/30 PAX,,,,,,,2025-OCTUBRE.DICIEMBRE,59,2026-01-12T10:12:30.821139
27,PORTOCABO,,CORREOS-COMIDA NAVIDAD-20 PAX,,,,,,,,2025-OCTUBRE.DICIEMBRE,60,2026-01-12T10:12:30.821139
28,,,IMAYA FORMACION                                                                         ESCUELA 18 PAX,ARTURO RIAL-COAC (70 PAX),COCKTAIL NAVIDAD-COAC             (70 PAX),COFFEES-IMAYA FORM./18 PAX,,,,,2025-OCTUBRE.DICIEMBRE,61,2026-01-12T10:12:30.821139
