ABRIL,ROSALIA,PONDAL,CASTELAO,CURROS,CUNQUEIRO,HALL,RESTAURANTE,BAR,_sheet,_row_number,_imported_at
1,,,,,,,,,2026-Abril.Junio,2,2026-01-12T10:12:30.821139
2,,,,,,,,,2026-Abril.Junio,3,2026-01-12T10:12:30.821139
3,,,,,,,,,2026-Abril.Junio,4,2026-01-12T10:12:30.821139
4,,,,,,,,,2026-Abril.Junio,5,2026-01-12T10:12:30.821139
5,,,,,,,,,2026-Abril.Junio,6,2026-01-12T10:12:30.821139
6,,,,,,,,,2026-Abril.Junio,7,2026-01-12T10:12:30.821139
7,,,,,,,,,2026-Abril.Junio,8,2026-01-12T10:12:30.821139
8,,,,,,,,,2026-Abril.Junio,9,2026-01-12T10:12:30.821139
9,,,,,,,,,2026-Abril.Junio,10,2026-01-12T10:12:30.821139
10,,,,,,,,,2026-Abril.Junio,11,2026-01-12T10:12:30.821139
11,,,,,,,,,2026-Abril.Junio,12,2026-01-12T10:12:30.821139
12,,,,,,,,,2026-Abril.Junio,13,2026-01-12T10:12:30.821139
13,,,,,,,,,2026-Abril.Junio,14,2026-01-12T10:12:30.821139
14,,,,,,,,,2026-Abril.Junio,15,2026-01-12T10:12:30.821139
15,,,,,,,,,2026-Abril.Junio,16,2026-01-12T10:12:30.821139
16,MIRANDÉS,MIRANDÉS,MIRANDÉS,MIRANDÉS,MIRANDÉS,,,,2026-Abril.Junio,17,2026-01-12T10:12:30.821139
17,MIRANDÉS,MIRANDÉS,MIRANDÉS,MIRANDÉS,MIRANDÉS,,,,2026-Abril.Junio,18,2026-01-12T10:12:30.821139
18,MIRANDÉS,MIRANDÉS,MIRANDÉS,MIRANDÉS,MIRANDÉS,,,,2026-Abril.Junio,19,2026-01-12T10:12:30.821139
19,MIRANDÉS,MIRANDÉS,MIRANDÉS,MIRANDÉS,MIRANDÉS,,,,2026-Abril.Junio,20,2026-01-12T10:12:30.821139
20,MIRANDÉS,MIRANDÉS,MIRANDÉS,MIRANDÉS,MIRANDÉS,,,,2026-Abril.Junio,21,2026-01-12T10:12:30.821139
21,MIRANDÉS,MIRANDÉS,MIRANDÉS,MIRANDÉS,MIRANDÉS,,,,2026-Abril.Junio,22,2026-01-12T10:12:30.821139
22,,,,,,,SERIES KARATE,,2026-Abril.Junio,23,2026-01-12T10:12:30.821139
23,,,,,,,SERIES KARATE,,2026-Abril.Junio,24,2026-01-12T10:12:30.821139
24,,,,,,,SERIES KARATE,,2026-Abril.Junio,25,2026-01-12T10:12:30.821139
25,GIPUZKOA BASKET,GIPUZKOA BASKET,GIPUZKOA BASKET,,,,SERIES KARATE,,2026-Abril.Junio,26,2026-01-12T10:12:30.821139
26,GIPUZKOA BASKET,GIPUZKOA BASKET,GIPUZKOA BASKET,,,,SERIES KARATE,,2026-Abril.Junio,27,2026-01-12T10:12:30.821139
27,,,,,,,,,2026-Abril.Junio,28,2026-01-12T10:12:30.821139
28,,,,,,,,,2026-Abril.Junio,29,2026-01-12T10:12:30.821139
29,,,,,,,,,2026-Abril.Junio,30,2026-01-12T10:12:30.821139
30,,,,,,,,,2026-Abril.Junio,31,2026-01-12T10:12:30.821139
MAYO,ROSALIA,PONDAL,CASTELAO,CURROS,CUNQUEIRO,HALL,RESTAURANTE,BAR,2026-Abril.Junio,32,2026-01-12T10:12:30.821139
1,,,,,,,,,2026-Abril.Junio,33,2026-01-12T10:12:30.821139
2,,,,,,,,,2026-Abril.Junio,34,2026-01-12T10:12:30.821139
3,,,,,,,,,2026-Abril.Junio,35,2026-01-12T10:12:30.821139
4,,,,,,,,,2026-Abril.Junio,36,2026-01-12T10:12:30.821139
5,,,,,,,,,2026-Abril.Junio,37,2026-01-12T10:12:30.821139
6,,,,,,,,,2026-Abril.Junio,38,2026-01-12T10:12:30.821139
7,,,,,,,,,2026-Abril.Junio,39,2026-01-12T10:12:30.821139
8,,,,,,,,,2026-Abril.Junio,40,2026-01-12T10:12:30.821139
9,,,CONGRESO SECOIR,CONGRESO SECOIR,CONGRESO SECOIR,COFFEE-CONGRESO SECOIR,,,2026-Abril.Junio,41,2026-01-12T10:12:30.821139
10,,,,,,,,,2026-Abril.Junio,42,2026-01-12T10:12:30.821139
11,,,,,,,,,2026-Abril.Junio,43,2026-01-12T10:12:30.821139
12,,,,,,,,,2026-Abril.Junio,44,2026-01-12T10:12:30.821139
13,,,,,,,,,2026-Abril.Junio,45,2026-01-12T10:12:30.821139
14,,,JORNADA,DERMATOLOGICA,,,,,2026-Abril.Junio,46,2026-01-12T10:12:30.821139
15,ANDORRA,ANDORRA,ANDORRA,ANDORRA,ANDORRA,,,,2026-Abril.Junio,47,2026-01-12T10:12:30.821139
16,ANDORRA,ANDORRA,ANDORRA,ANDORRA,ANDORRA,,,,2026-Abril.Junio,48,2026-01-12T10:12:30.821139
17,ANDORRA,ANDORRA,ANDORRA,ANDORRA,ANDORRA,,,,2026-Abril.Junio,49,2026-01-12T10:12:30.821139
18,,,,,,,,,2026-Abril.Junio,50,2026-01-12T10:12:30.821139
19,,,,,,,,,2026-Abril.Junio,51,2026-01-12T10:12:30.821139
20,,,,,,,,,2026-Abril.Junio,52,2026-01-12T10:12:30.821139
21,,,,,,,,,2026-Abril.Junio,53,2026-01-12T10:12:30.821139
22,,,GPO. HOTUSA/40 PAX,,,,FED.GAL.ATLETISMO,COMIDA BUFFET,2026-Abril.Junio,54,2026-01-12T10:12:30.821139
23,,,GPO. HOTUSA/40 PAX,,,,FED.GAL.ATLETISMO,CENA BUFFET,2026-Abril.Junio,55,2026-01-12T10:12:30.821139
24,,,,,,,,,2026-Abril.Junio,56,2026-01-12T10:12:30.821139
25,,,,,,,,,2026-Abril.Junio,57,2026-01-12T10:12:30.821139
26,,,,,,,,,2026-Abril.Junio,58,2026-01-12T10:12:30.821139
27,,,,,,,,,2026-Abril.Junio,59,2026-01-12T10:12:30.821139
28,,,,,,,,,2026-Abril.Junio,60,2026-01-12T10:12:30.821139
29,,,,,,,,,2026-Abril.Junio,61,2026-01-12T10:12:30.821139
30,,,,,,,,,2026-Abril.Junio,62,2026-01-12T10:12:30.821139
31,,,,,,,,,2026-Abril.Junio,63,2026-01-12T10:12:30.821139
JUNIO,ROSALIA,PONDAL,CASTELAO,CURROS,CUNQUEIRO,HALL,RESTAURANTE,BAR,2026-Abril.Junio,64,2026-01-12T10:12:30.821139
1,,,,,,,,,2026-Abril.Junio,65,2026-01-12T10:12:30.821139
2,,,,,,,,,2026-Abril.Junio,66,2026-01-12T10:12:30.821139
3,CONGRESO SEPAR,CONGRESO SEPAR,CONGRESO SEPAR,CONGRESO SEPAR,CONGRESO SEPAR,,,,2026-Abril.Junio,67,2026-01-12T10:12:30.821139
4,CONGRESO SEPAR,CONGRESO SEPAR,CONGRESO SEPAR,CONGRESO SEPAR,CONGRESO SEPAR,,,,2026-Abril.Junio,68,2026-01-12T10:12:30.821139
5,CONGRESO SEPAR,CONGRESO SEPAR,CONGRESO SEPAR,CONGRESO SEPAR,CONGRESO SEPAR,,,,2026-Abril.Junio,69,2026-01-12T10:12:30.821139
6,CONGRESO SEPAR,CONGRESO SEPAR,CONGRESO SEPAR,CONGRESO SEPAR,CONGRESO SEPAR,,,,2026-Abril.Junio,70,2026-01-12T10:12:30.821139
7,,,,,,,,,2026-Abril.Junio,71,2026-01-12T10:12:30.821139
8,,,,,,,,,2026-Abril.Junio,72,2026-01-12T10:12:30.821139
9,,,,,,,,,2026-Abril.Junio,73,2026-01-12T10:12:30.821139
10,,,,,,,,,2026-Abril.Junio,74,2026-01-12T10:12:30.821139
11,,,CATA RESTEL,COCKTAIL RESTEL,,,,,2026-Abril.Junio,75,2026-01-12T10:12:30.821139
12,,,,,,,,,2026-Abril.Junio,76,2026-01-12T10:12:30.821139
13,,,,,,,,,2026-Abril.Junio,77,2026-01-12T10:12:30.821139
14,,,,,,,,,2026-Abril.Junio,78,2026-01-12T10:12:30.821139
15,,,,,,,,,2026-Abril.Junio,79,2026-01-12T10:12:30.821139
16,,,,,,,,,2026-Abril.Junio,80,2026-01-12T10:12:30.821139
17,,,,,,,,,2026-Abril.Junio,81,2026-01-12T10:12:30.821139
18,,,,,,,,,2026-Abril.Junio,82,2026-01-12T10:12:30.821139
19,,,,,,,,,2026-Abril.Junio,83,2026-01-12T10:12:30.821139
20,,,,,,,,,2026-Abril.Junio,84,2026-01-12T10:12:30.821139
21,,,,,,,,,2026-Abril.Junio,85,2026-01-12T10:12:30.821139
22,,,,,,,,,2026-Abril.Junio,86,2026-01-12T10:12:30.821139
23,,,,,,,,,2026-Abril.Junio,87,2026-01-12T10:12:30.821139
24,,,,,,,,,2026-Abril.Junio,88,2026-01-12T10:12:30.821139
25,,,,,,,,,2026-Abril.Junio,89,2026-01-12T10:12:30.821139
26,,,,,,,,,2026-Abril.Junio,90,2026-01-12T10:12:30.821139
27,,,,,,,,,2026-Abril.Junio,91,2026-01-12T10:12:30.821139
28,,,,,,,,,2026-Abril.Junio,92,2026-01-12T10:12:30.821139
29,,,,,,,,,2026-Abril.Junio,93,2026-01-12T10:12:30.821139
30,,,,,,,,,2026-Abril.Junio,94,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Abril.Junio,95,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Abril.Junio,96,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Abril.Junio,97,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Abril.Junio,98,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Abril.Junio,99,2026-01-12T10:12:30.821139
PRODUCCION NETA  ACUMULADA MES DE ABRIL  (MICE + F & B),,,,,,,,,2026-Abril.Junio,100,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Abril.Junio,101,2026-01-12T10:12:30.821139
,,2019,2022,2023,2024,2025,2026,,2026-Abril.Junio,102,2026-01-12T10:12:30.821139
SALAS,,4623.96,2619.83,1062.81,1182.85,2821.07,,,2026-Abril.Junio,103,2026-01-12T10:12:30.821139
AUDIOS,,0,7285.04,61.98,134.5,640.5,,,2026-Abril.Junio,104,2026-01-12T10:12:30.821139
BUFFET + BEBIDAS RTE.,,17660,9163.18,13277.09,11668.97,0,,,2026-Abril.Junio,105,2026-01-12T10:12:30.821139
BANQUETES,,9890.66,2564.18,8209.64,5508.55,3736.36,,,2026-Abril.Junio,106,2026-01-12T10:12:30.821139
MENUS EQUIPOS Y GRUPOS,,3176.187,6826.64,8869.15,9330.71,1791.82,,,2026-Abril.Junio,107,2026-01-12T10:12:30.821139
COFFEE-BREAK,,2151.96,2066.07,499.09,736.27,1351.36,,,2026-Abril.Junio,108,2026-01-12T10:12:30.821139
ROOM-SERVICE,,4712.76,1387.4,1060.56,1919.18,1304.1,,,2026-Abril.Junio,109,2026-01-12T10:12:30.821139
DESAYUNO,,33642.18,31077.16,51339.45,38492.28,36162.83,,,2026-Abril.Junio,110,2026-01-12T10:12:30.821139
MINIBAR,,1647.73,1509.09,1778.64,1958.37,1928.01,,,2026-Abril.Junio,111,2026-01-12T10:12:30.821139
BAR,,4353.19,1760,2064.91,3081.87,7386.99,,,2026-Abril.Junio,112,2026-01-12T10:12:30.821139
,,,,,  ,,,,2026-Abril.Junio,113,2026-01-12T10:12:30.821139
,TOTAL,81858.62,66258.59,88223.31999999999,74013.54999999999,57123.04,,,2026-Abril.Junio,114,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Abril.Junio,115,2026-01-12T10:12:30.821139
,,Diferencia (2019-2025):,-24735.579999999994,,,,,,2026-Abril.Junio,116,2026-01-12T10:12:30.821139
,,Diferencia (2022-2025):,-9135.549999999996,,,,,,2026-Abril.Junio,117,2026-01-12T10:12:30.821139
,,Diferencia (2023-2025):,-31100.27999999999,,,,,,2026-Abril.Junio,118,2026-01-12T10:12:30.821139
,,Diferencia (2024-2025):,-16890.509999999987,,,,,,2026-Abril.Junio,119,2026-01-12T10:12:30.821139
,,Diferencia (2025-2026):,-57123.04,,,,,,2026-Abril.Junio,120,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Abril.Junio,121,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Abril.Junio,122,2026-01-12T10:12:30.821139
PRODUCCION NETA  ACUMULADA MES DE MAYO  (MICE + F & B),,,,,,,,,2026-Abril.Junio,123,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Abril.Junio,124,2026-01-12T10:12:30.821139
,,2019,2022,2023,2024,2025,2026,,2026-Abril.Junio,125,2026-01-12T10:12:30.821139
SALAS,,2994.11,3648.76,3041.32,5208.68,3697.73,,,2026-Abril.Junio,126,2026-01-12T10:12:30.821139
AUDIOS,,429.75,2891.16,0,247.93,1227.48,,,2026-Abril.Junio,127,2026-01-12T10:12:30.821139
BUFFET + BEBIDAS RTE.,,18839.09,10209.55,14425.91,13882.35,371.09,,,2026-Abril.Junio,128,2026-01-12T10:12:30.821139
BANQUETES,,12942.73,5320.91,11200,9669.32,11430.23,,,2026-Abril.Junio,129,2026-01-12T10:12:30.821139
MENUS EQUIPOS Y GRUPOS,,4396.5,11407.08,6954.12,19412.37,6861.64,,,2026-Abril.Junio,130,2026-01-12T10:12:30.821139
COFFEE-BREAK,,898.55,1015,6548.18,3437.27,2354.73,,,2026-Abril.Junio,131,2026-01-12T10:12:30.821139
ROOM-SERVICE,,3867.83,1349.75,1406.67,1276.87,921.88,,,2026-Abril.Junio,132,2026-01-12T10:12:30.821139
DESAYUNO,,36730.08,32027.09,51088.37,52993.44,42038.51,,,2026-Abril.Junio,133,2026-01-12T10:12:30.821139
MINIBAR,,1545.45,1462.73,1904.55,2048.56,1735.91,,,2026-Abril.Junio,134,2026-01-12T10:12:30.821139
BAR,,4139.55,2003.23,3559.09,3149.36,5214.5,,,2026-Abril.Junio,135,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Abril.Junio,136,2026-01-12T10:12:30.821139
,TOTAL,86783.64,71335.26,100128.21,111326.15,75853.70000000001,,,2026-Abril.Junio,137,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Abril.Junio,138,2026-01-12T10:12:30.821139
,,Diferencia (2019-2025):,-10929.939999999988,,,,,,2026-Abril.Junio,139,2026-01-12T10:12:30.821139
,,Diferencia (2022-2025):,4518.440000000017,,,,,,2026-Abril.Junio,140,2026-01-12T10:12:30.821139
,,Diferencia (2023-2025):,-24274.509999999995,,,,,,2026-Abril.Junio,141,2026-01-12T10:12:30.821139
