ENERO,ROSALIA,PONDAL,CASTELAO,CURROS,CUNQUEIRO,HALL,RESTAURANTE,BAR,_sheet,_row_number,_imported_at
1, , , , , , ,, ,2026-Enero.Marzo,2,2026-01-12T10:12:30.821139
2, , , , , , , , ,2026-Enero.Marzo,3,2026-01-12T10:12:30.821139
3,CADIZ CF,CADIZ CF,CADIZ CF,CADIZ CF,CADIZ CF,,, ,2026-Enero.Marzo,4,2026-01-12T10:12:30.821139
4,CADIZ CF,CADIZ CF,CADIZ CF,CADIZ CF,CADIZ CF,PARTIDO A LAS 21'00,, ,2026-Enero.Marzo,5,2026-01-12T10:12:30.821139
5,,,,BICO DE XEADO/100 PAX,BICO DE XEADO/100 PAX,,, ,2026-Enero.Marzo,6,2026-01-12T10:12:30.821139
6,,,,,,,, ,2026-Enero.Marzo,7,2026-01-12T10:12:30.821139
7, , , , , , , , ,2026-Enero.Marzo,8,2026-01-12T10:12:30.821139
8,,,,,,,, ,2026-Enero.Marzo,9,2026-01-12T10:12:30.821139
9,PP,,,,PP, , , ,2026-Enero.Marzo,10,2026-01-12T10:12:30.821139
10,PP, , ,,PP, , , ,2026-Enero.Marzo,11,2026-01-12T10:12:30.821139
11,PP, ,,,PP, , , ,2026-Enero.Marzo,12,2026-01-12T10:12:30.821139
12,,,,,,,,,2026-Enero.Marzo,13,2026-01-12T10:12:30.821139
13,,,,,,,,,2026-Enero.Marzo,14,2026-01-12T10:12:30.821139
14,,,UNIVERSIDAD FRANCISCO VITORIA/20 pax,,,,,,2026-Enero.Marzo,15,2026-01-12T10:12:30.821139
15,,,,,,,,,2026-Enero.Marzo,16,2026-01-12T10:12:30.821139
16,FIBWI LEB ORO,FIBWI LEB ORO,FIBWI LEB ORO,FIBWI LEB ORO,FIBWI LEB ORO,,,,2026-Enero.Marzo,17,2026-01-12T10:12:30.821139
17,,,,,,,,,2026-Enero.Marzo,18,2026-01-12T10:12:30.821139
18,,,,,,,,,2026-Enero.Marzo,19,2026-01-12T10:12:30.821139
19,,,,,,,,,2026-Enero.Marzo,20,2026-01-12T10:12:30.821139
20,,,,,,,,,2026-Enero.Marzo,21,2026-01-12T10:12:30.821139
21,,,,,,,,,2026-Enero.Marzo,22,2026-01-12T10:12:30.821139
22,,,P&A GROUP,MONTAJE X TARDE      PIPO Y AMIGOS,MONTAJE X TARDE      PIPO Y AMIGOS,COFFEE-P&A GROUP,COMIDA P&A GROUP,,2026-Enero.Marzo,23,2026-01-12T10:12:30.821139
23,,,P&A GROUP,PIPO Y AMIGOS,PIPO Y AMIGOS,COFFEE-P&A GROUP,,,2026-Enero.Marzo,24,2026-01-12T10:12:30.821139
24,,,,PIPO Y AMIGOS,PIPO Y AMIGOS,,,,2026-Enero.Marzo,25,2026-01-12T10:12:30.821139
25,,,,PIPO Y AMIGOS,PIPO Y AMIGOS,,,,2026-Enero.Marzo,26,2026-01-12T10:12:30.821139
26,,,,,,,,,2026-Enero.Marzo,27,2026-01-12T10:12:30.821139
27,,,,,,,,,2026-Enero.Marzo,28,2026-01-12T10:12:30.821139
28,,,,,,,,,2026-Enero.Marzo,29,2026-01-12T10:12:30.821139
29,,,,,,,,,2026-Enero.Marzo,30,2026-01-12T10:12:30.821139
30,,,,,,,,,2026-Enero.Marzo,31,2026-01-12T10:12:30.821139
31,,,,,,,,,2026-Enero.Marzo,32,2026-01-12T10:12:30.821139
FEBRERO,ROSALIA,PONDAL,CASTELAO,CURROS,CUNQUEIRO,HALL,RESTAURANTE,BAR,2026-Enero.Marzo,33,2026-01-12T10:12:30.821139
1,,,,,,,,,2026-Enero.Marzo,34,2026-01-12T10:12:30.821139
2,,,,,,,,,2026-Enero.Marzo,35,2026-01-12T10:12:30.821139
3,,,,,NATO/20 PAX MJ x tarde,,,,2026-Enero.Marzo,36,2026-01-12T10:12:30.821139
4,,,,,,,,,2026-Enero.Marzo,37,2026-01-12T10:12:30.821139
5,,,,,,,,,2026-Enero.Marzo,38,2026-01-12T10:12:30.821139
6,,,UEM/EXAMEN 20 PAX,,,,,,2026-Enero.Marzo,39,2026-01-12T10:12:30.821139
7,,,UEM/EXAMEN 30 PAX,,,,,,2026-Enero.Marzo,40,2026-01-12T10:12:30.821139
8,,,UEM/EXAMEN 30 PAX,,,,,,2026-Enero.Marzo,41,2026-01-12T10:12:30.821139
9,,,,,,,,,2026-Enero.Marzo,42,2026-01-12T10:12:30.821139
10,,,,,,,,,2026-Enero.Marzo,43,2026-01-12T10:12:30.821139
11,,,,,,,,,2026-Enero.Marzo,44,2026-01-12T10:12:30.821139
12,,,,,,,,,2026-Enero.Marzo,45,2026-01-12T10:12:30.821139
13,,,,CARMEN VIDAL PAN,COCKTAIL RAMYCGA,,,,2026-Enero.Marzo,46,2026-01-12T10:12:30.821139
14,,,,,,,,,2026-Enero.Marzo,47,2026-01-12T10:12:30.821139
15,,,,,,,,,2026-Enero.Marzo,48,2026-01-12T10:12:30.821139
16,,,,,,,,,2026-Enero.Marzo,49,2026-01-12T10:12:30.821139
17,,,,,,,,,2026-Enero.Marzo,50,2026-01-12T10:12:30.821139
18,,,,,,,,,2026-Enero.Marzo,51,2026-01-12T10:12:30.821139
19,,,IN y MONTAJE,,,,,,2026-Enero.Marzo,52,2026-01-12T10:12:30.821139
20,,,JANET&JANET,,,,,,2026-Enero.Marzo,53,2026-01-12T10:12:30.821139
