JULIO,ROSALIA,PONDAL,CASTELAO,CURROS,CUNQUEIRO,HALL,RESTAURANTE,BAR,_sheet,_row_number,_imported_at
1, , ,"ODDO ""ESCUELA"" 40 PAX + AUDIOS MCN y COFFEE", ,,ODDO COCKTAIL COMIDA 40 PAX,, ,2026-Julio.Septiembre,2,2026-01-12T10:12:30.821139
2,,,"ODDO ""ESCUELA"" 40 PAX + AUDIOS MCN y COFFEE",,,ODDO COCKTAIL COMIDA 40 PAX,,,2026-Julio.Septiembre,3,2026-01-12T10:12:30.821139
3,,,,,,,,,2026-Julio.Septiembre,4,2026-01-12T10:12:30.821139
4,,,,,,,,,2026-Julio.Septiembre,5,2026-01-12T10:12:30.821139
5,,,,,,,,,2026-Julio.Septiembre,6,2026-01-12T10:12:30.821139
6,,,,,,,,,2026-Julio.Septiembre,7,2026-01-12T10:12:30.821139
7,,,,,,,,,2026-Julio.Septiembre,8,2026-01-12T10:12:30.821139
8,,,,,,,,,2026-Julio.Septiembre,9,2026-01-12T10:12:30.821139
9,,,,,,,,,2026-Julio.Septiembre,10,2026-01-12T10:12:30.821139
10,,,,,,,,,2026-Julio.Septiembre,11,2026-01-12T10:12:30.821139
11,,,,,,,,,2026-Julio.Septiembre,12,2026-01-12T10:12:30.821139
12,,,,,,,,,2026-Julio.Septiembre,13,2026-01-12T10:12:30.821139
13,,,,,,,,,2026-Julio.Septiembre,14,2026-01-12T10:12:30.821139
14,,,,,,,,,2026-Julio.Septiembre,15,2026-01-12T10:12:30.821139
15,,,,,,,,,2026-Julio.Septiembre,16,2026-01-12T10:12:30.821139
16,,,,,,,,,2026-Julio.Septiembre,17,2026-01-12T10:12:30.821139
17,,,,,,,,,2026-Julio.Septiembre,18,2026-01-12T10:12:30.821139
18,,,,,,,,,2026-Julio.Septiembre,19,2026-01-12T10:12:30.821139
19,,,,,,,,,2026-Julio.Septiembre,20,2026-01-12T10:12:30.821139
20,,,,,,,,,2026-Julio.Septiembre,21,2026-01-12T10:12:30.821139
21,,,,,,,,,2026-Julio.Septiembre,22,2026-01-12T10:12:30.821139
22,,,,,,,,,2026-Julio.Septiembre,23,2026-01-12T10:12:30.821139
23,,,,,,,,,2026-Julio.Septiembre,24,2026-01-12T10:12:30.821139
24,,,,,,,,,2026-Julio.Septiembre,25,2026-01-12T10:12:30.821139
25,,,,,,,,,2026-Julio.Septiembre,26,2026-01-12T10:12:30.821139
26,,,,,,,,,2026-Julio.Septiembre,27,2026-01-12T10:12:30.821139
27,,,,,,,,,2026-Julio.Septiembre,28,2026-01-12T10:12:30.821139
28,,,,,,,,,2026-Julio.Septiembre,29,2026-01-12T10:12:30.821139
29,,,,,,,,,2026-Julio.Septiembre,30,2026-01-12T10:12:30.821139
30,,,,,,,,,2026-Julio.Septiembre,31,2026-01-12T10:12:30.821139
31,,,,,,,,,2026-Julio.Septiembre,32,2026-01-12T10:12:30.821139
AGOSTO,ROSALIA,PONDAL,CASTELAO,CURROS,CUNQUEIRO,HALL,RESTAURANTE,BAR,2026-Julio.Septiembre,33,2026-01-12T10:12:30.821139
1,,,,,,,,,2026-Julio.Septiembre,34,2026-01-12T10:12:30.821139
2,,,,,,,,,2026-Julio.Septiembre,35,2026-01-12T10:12:30.821139
3,,,,,,,,,2026-Julio.Septiembre,36,2026-01-12T10:12:30.821139
4,,,,,,,,,2026-Julio.Septiembre,37,2026-01-12T10:12:30.821139
5,,,,,,,,,2026-Julio.Septiembre,38,2026-01-12T10:12:30.821139
6,,,,,,,,,2026-Julio.Septiembre,39,2026-01-12T10:12:30.821139
7,,,,,,,,,2026-Julio.Septiembre,40,2026-01-12T10:12:30.821139
8,,,,,,,,,2026-Julio.Septiembre,41,2026-01-12T10:12:30.821139
9,,,,,,,,,2026-Julio.Septiembre,42,2026-01-12T10:12:30.821139
10,,,,,,,,,2026-Julio.Septiembre,43,2026-01-12T10:12:30.821139
11,,,,,,,,,2026-Julio.Septiembre,44,2026-01-12T10:12:30.821139
12,,,,,,,,,2026-Julio.Septiembre,45,2026-01-12T10:12:30.821139
13,,,,,,,,,2026-Julio.Septiembre,46,2026-01-12T10:12:30.821139
14,,,,,,,,,2026-Julio.Septiembre,47,2026-01-12T10:12:30.821139
15,,,,,,,,,2026-Julio.Septiembre,48,2026-01-12T10:12:30.821139
16,,,,,,,,,2026-Julio.Septiembre,49,2026-01-12T10:12:30.821139
17,,,,,,,,,2026-Julio.Septiembre,50,2026-01-12T10:12:30.821139
18,,,,,,,,,2026-Julio.Septiembre,51,2026-01-12T10:12:30.821139
19,,,,,,,,,2026-Julio.Septiembre,52,2026-01-12T10:12:30.821139
20,,,,,,,,,2026-Julio.Septiembre,53,2026-01-12T10:12:30.821139
21,,,,,,,,,2026-Julio.Septiembre,54,2026-01-12T10:12:30.821139
22,,,,,,,,,2026-Julio.Septiembre,55,2026-01-12T10:12:30.821139
23,,,,,,,,,2026-Julio.Septiembre,56,2026-01-12T10:12:30.821139
24,,,,,,,,,2026-Julio.Septiembre,57,2026-01-12T10:12:30.821139
25,,,,,,,,,2026-Julio.Septiembre,58,2026-01-12T10:12:30.821139
26,,,,,,,,,2026-Julio.Septiembre,59,2026-01-12T10:12:30.821139
27,,,,,,,,,2026-Julio.Septiembre,60,2026-01-12T10:12:30.821139
28,,,,,,,,,2026-Julio.Septiembre,61,2026-01-12T10:12:30.821139
29,,,,,,,,,2026-Julio.Septiembre,62,2026-01-12T10:12:30.821139
30,,,,,,,,,2026-Julio.Septiembre,63,2026-01-12T10:12:30.821139
31,,,,,,,,,2026-Julio.Septiembre,64,2026-01-12T10:12:30.821139
