OCTUBRE,ROSALIA,PONDAL,CASTELAO,CURROS,CUNQUEIRO,HALL,RESTAURANTE,BAR,_sheet,_row_number,_imported_at
1,,,,,,,,,2026-Octubre.Diciembre,2,2026-01-12T10:12:30.821139
2,,,,,,,,,2026-Octubre.Diciembre,3,2026-01-12T10:12:30.821139
3,,,,,,,,,2026-Octubre.Diciembre,4,2026-01-12T10:12:30.821139
4,,,,,,,,,2026-Octubre.Diciembre,5,2026-01-12T10:12:30.821139
5,,,,,,,,,2026-Octubre.Diciembre,6,2026-01-12T10:12:30.821139
6,,,,,,,,,2026-Octubre.Diciembre,7,2026-01-12T10:12:30.821139
7,,,,,,,,,2026-Octubre.Diciembre,8,2026-01-12T10:12:30.821139
8,,,,,,,,,2026-Octubre.Diciembre,9,2026-01-12T10:12:30.821139
9,,,,,,,,,2026-Octubre.Diciembre,10,2026-01-12T10:12:30.821139
10,,,,,,,,,2026-Octubre.Diciembre,11,2026-01-12T10:12:30.821139
11,,,,,,,,,2026-Octubre.Diciembre,12,2026-01-12T10:12:30.821139
12,,,,,,,,,2026-Octubre.Diciembre,13,2026-01-12T10:12:30.821139
13,,,,,,,,,2026-Octubre.Diciembre,14,2026-01-12T10:12:30.821139
14,,,,,,,,,2026-Octubre.Diciembre,15,2026-01-12T10:12:30.821139
15,,,,,,,,,2026-Octubre.Diciembre,16,2026-01-12T10:12:30.821139
16,,,,,,,,,2026-Octubre.Diciembre,17,2026-01-12T10:12:30.821139
17,,,,,,,,,2026-Octubre.Diciembre,18,2026-01-12T10:12:30.821139
18,,,,,,,,,2026-Octubre.Diciembre,19,2026-01-12T10:12:30.821139
19,,,,,,,,,2026-Octubre.Diciembre,20,2026-01-12T10:12:30.821139
20,,,,,,,,,2026-Octubre.Diciembre,21,2026-01-12T10:12:30.821139
21,,,,,,,,,2026-Octubre.Diciembre,22,2026-01-12T10:12:30.821139
22,,,,,,,,,2026-Octubre.Diciembre,23,2026-01-12T10:12:30.821139
23,,,,,,,,,2026-Octubre.Diciembre,24,2026-01-12T10:12:30.821139
24,,,,,,,,,2026-Octubre.Diciembre,25,2026-01-12T10:12:30.821139
25,,,,,,,,,2026-Octubre.Diciembre,26,2026-01-12T10:12:30.821139
26,,,,,,,,,2026-Octubre.Diciembre,27,2026-01-12T10:12:30.821139
27,,,,,,,,,2026-Octubre.Diciembre,28,2026-01-12T10:12:30.821139
28,,,,,,,,,2026-Octubre.Diciembre,29,2026-01-12T10:12:30.821139
29,,,,,,,,,2026-Octubre.Diciembre,30,2026-01-12T10:12:30.821139
30,,,,,,,,,2026-Octubre.Diciembre,31,2026-01-12T10:12:30.821139
31,,,,,,,,,2026-Octubre.Diciembre,32,2026-01-12T10:12:30.821139
NOVIEMBRE,ROSALIA,PONDAL,CASTELAO,CURROS,CUNQUEIRO,HALL,RESTAURANTE,BAR,2026-Octubre.Diciembre,33,2026-01-12T10:12:30.821139
1,,,,,,,,,2026-Octubre.Diciembre,34,2026-01-12T10:12:30.821139
2,,,,,,,,,2026-Octubre.Diciembre,35,2026-01-12T10:12:30.821139
3,,,,,,,,,2026-Octubre.Diciembre,36,2026-01-12T10:12:30.821139
4,,,,,,,,,2026-Octubre.Diciembre,37,2026-01-12T10:12:30.821139
5,,,,,,,,,2026-Octubre.Diciembre,38,2026-01-12T10:12:30.821139
6,,,,,,,,,2026-Octubre.Diciembre,39,2026-01-12T10:12:30.821139
7,,,,,,,,,2026-Octubre.Diciembre,40,2026-01-12T10:12:30.821139
8,,,,,,,,,2026-Octubre.Diciembre,41,2026-01-12T10:12:30.821139
9,,,,,,,,,2026-Octubre.Diciembre,42,2026-01-12T10:12:30.821139
10,,,,,,,,,2026-Octubre.Diciembre,43,2026-01-12T10:12:30.821139
11,,,,,,,,,2026-Octubre.Diciembre,44,2026-01-12T10:12:30.821139
