Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,_sheet,_row_number,_imported_at
PRODUCCION NETA x SEGMENTOS COMPARATIVA,,,,PRODUCCION NETA x SEGMENTOS COMPARATIVA,,,,PRODUCCION NETA x SEGMENTOS COMPARATIVA,,,,ALOJAMIENTO COMP. 2026,2,2026-01-12T10:12:30.821139
,MES DE ENERO,,,,MES DE FEBRERO,,,,MES DE MARZO,,,ALOJAMIENTO COMP. 2026,3,2026-01-12T10:12:30.821139
,,,,,,,,,,,,ALOJAMIENTO COMP. 2026,4,2026-01-12T10:12:30.821139
Ejercicio    2019,129521.31,,,Ejercicio    2019,173407.25,,,Ejercicio    2019,169734.6,,,ALOJAMIENTO COMP. 2026,5,2026-01-12T10:12:30.821139
Ejercicio    2020,144149.44,,,Ejercicio    2020,150289.41,,,Ejercicio    2020,36562.15,,,ALOJAMIENTO COMP. 2026,6,2026-01-12T10:12:30.821139
Ejercicio    2021,136.07,,,Ejercicio    2021,0,,,Ejercicio    2021,0,,,ALOJAMIENTO COMP. 2026,7,2026-01-12T10:12:30.821139
Ejercicio    2022,72661.3,,,Ejercicio    2022,125715.38,,,Ejercicio    2022,159111.65,,,ALOJAMIENTO COMP. 2026,8,2026-01-12T10:12:30.821139
Ejercicio    2023,110391.46,,,Ejercicio    2023,129074.76,,,Ejercicio    2023,155344.29,,,ALOJAMIENTO COMP. 2026,9,2026-01-12T10:12:30.821139
Ejercicio    2024,170923.77,,,Ejercicio    2024,177885.87,,,Ejercicio    2024,190421.29,,,ALOJAMIENTO COMP. 2026,10,2026-01-12T10:12:30.821139
Ejercicio    2025,152183.79,,,Ejercicio    2025,232363.7,,,Ejercicio    2025,239657.39,,,ALOJAMIENTO COMP. 2026,11,2026-01-12T10:12:30.821139
Ejercicio    2026,151907.58,,,Ejercicio    2026,74816.58,,,Ejercicio    2026,74460.22,,,ALOJAMIENTO COMP. 2026,12,2026-01-12T10:12:30.821139
,,,,,,,,,,,,ALOJAMIENTO COMP. 2026,13,2026-01-12T10:12:30.821139
,,,,,,,,,,Diferencia (2019-2025):,69922.79000000001,ALOJAMIENTO COMP. 2026,14,2026-01-12T10:12:30.821139
,,,,,,,,,,Diferencia (2020-2025):,203095.24000000002,ALOJAMIENTO COMP. 2026,15,2026-01-12T10:12:30.821139
,,,,,,Diferencia (2019-2025):,58956.45000000001,,,Diferencia (2021-2025):,239657.39,ALOJAMIENTO COMP. 2026,16,2026-01-12T10:12:30.821139
,,,,,,Diferencia (2020-2025):,82074.29000000001,,,Diferencia (2022-2025):,80545.74000000002,ALOJAMIENTO COMP. 2026,17,2026-01-12T10:12:30.821139
,,Diferencia (2019-2025):,22662.48000000001,,,Diferencia (2021-2025):,232363.7,,,Diferencia (2023-2025):,84313.1,ALOJAMIENTO COMP. 2026,18,2026-01-12T10:12:30.821139
,,Diferencia (2020-2025):,8034.350000000006,,,Diferencia (2022-2025):,106648.32,,,Diferencia (2024-2025):,49236.100000000006,ALOJAMIENTO COMP. 2026,19,2026-01-12T10:12:30.821139
,,Diferencia (2021-2025):,152047.72,,,Diferencia (2023-2025):,103288.94000000002,,,Diferencia (2025-2026):,-165197.17,ALOJAMIENTO COMP. 2026,20,2026-01-12T10:12:30.821139
,,Diferencia (2022-2025):,79522.49,,,Diferencia (2024-2025):,54477.830000000016,,,,,ALOJAMIENTO COMP. 2026,21,2026-01-12T10:12:30.821139
,,Diferencia (2023-2025):,41792.33,,,Diferencia (2025-2026):,-157547.12,,,,,ALOJAMIENTO COMP. 2026,22,2026-01-12T10:12:30.821139
,,Diferencia (2024-2025):,-18739.97999999998,,,,,,,,,ALOJAMIENTO COMP. 2026,23,2026-01-12T10:12:30.821139
,,Diferencia (2025-2026):,-276.21000000002095,,,,,,,,,ALOJAMIENTO COMP. 2026,24,2026-01-12T10:12:30.821139
,,,,,,,,,,,,ALOJAMIENTO COMP. 2026,25,2026-01-12T10:12:30.821139
,,,,,,,,,,,,ALOJAMIENTO COMP. 2026,26,2026-01-12T10:12:30.821139
,,,,,,,,,,,,ALOJAMIENTO COMP. 2026,27,2026-01-12T10:12:30.821139
,,,,,,,,,,,,ALOJAMIENTO COMP. 2026,28,2026-01-12T10:12:30.821139
,,,,,,,,,,,,ALOJAMIENTO COMP. 2026,29,2026-01-12T10:12:30.821139
,,,,,,,,,,,,ALOJAMIENTO COMP. 2026,30,2026-01-12T10:12:30.821139
PRODUCCION NETA x SEGMENTOS COMPARATIVA,,,,PRODUCCION NETA x SEGMENTOS COMPARATIVA,,,,PRODUCCION NETA x SEGMENTOS COMPARATIVA,,,,ALOJAMIENTO COMP. 2026,31,2026-01-12T10:12:30.821139
,MES DE ABRIL,,,,MES DE MAYO,,,,MES DE JUNIO,,,ALOJAMIENTO COMP. 2026,32,2026-01-12T10:12:30.821139
,,,,,,,,,,,,ALOJAMIENTO COMP. 2026,33,2026-01-12T10:12:30.821139
,,,,,,,,,,,,ALOJAMIENTO COMP. 2026,34,2026-01-12T10:12:30.821139
Ejercicio    2019,207374.61,,,Ejercicio    2019,250953,,,Ejercicio    2019,248371.84,,,ALOJAMIENTO COMP. 2026,35,2026-01-12T10:12:30.821139
Ejercicio    2020,-139.02,,,Ejercicio    2020,-86.82,,,Ejercicio    2020,-73.66,,,ALOJAMIENTO COMP. 2026,36,2026-01-12T10:12:30.821139
Ejercicio    2021,-88.69,,,Ejercicio    2021,25315.87,,,Ejercicio    2021,129243.96,,,ALOJAMIENTO COMP. 2026,37,2026-01-12T10:12:30.821139
Ejercicio    2022,230810.3,,,Ejercicio    2022,211881.72,,,Ejercicio    2022,268725.54,,,ALOJAMIENTO COMP. 2026,38,2026-01-12T10:12:30.821139
Ejercicio    2023,258008.25,,,Ejercicio    2023,311334.7,,,Ejercicio    2023,373140.06,,,ALOJAMIENTO COMP. 2026,39,2026-01-12T10:12:30.821139
